,name,stars,review,price,note,open_time,restautant_type,address,ward,district,city
74,Mở bia,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
75,Cafe 1983,None,None,None,'Dine-in',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
76,Nhà hàng Sophia,4.0,(117),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 11\u202fPM',Vietnamese,527 Nguyễn Tất Thành,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
77,Bảo Trân Quán,4.5,(2),None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
78,SuBo quán,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
79,Nhà Hàng Đầm Sen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
80,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
81,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
82,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
83,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
84,Nha Hang Phu Mi Thanh,3.6,(7),None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
85,Mệ Xí Restaurant,None,None,None,'Dine-in',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
86,Cafe Bobo,5.0,(2),None,'Dine-in',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
87,Nhậu,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
88,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
89,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
90,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
91,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
92,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
93,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
94,Mở bia,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
95,Cafe 1983,None,None,None,'Dine-in',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
96,Nhà hàng Sophia,4.0,(117),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 11\u202fPM',Vietnamese,527 Nguyễn Tất Thành,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
97,Bảo Trân Quán,4.5,(2),None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
98,SuBo quán,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
99,Nhà Hàng Đầm Sen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Tây,Quận Thanh Khê,Thành phố Đà Nẵng
100,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
101,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
102,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
103,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
104,Nha Hang Phu Mi Thanh,3.6,(7),None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
105,Mệ Xí Restaurant,None,None,None,'Dine-in',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
106,Cafe Bobo,5.0,(2),None,'Dine-in',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
107,Nhậu,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
108,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
109,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
110,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
111,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
112,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
113,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
114,Mở bia,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
115,Cafe 1983,None,None,None,'Dine-in',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
116,Nhà hàng Sophia,4.0,(117),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 11\u202fPM',Vietnamese,527 Nguyễn Tất Thành,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
117,Bảo Trân Quán,4.5,(2),None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
118,SuBo quán,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
119,Nhà Hàng Đầm Sen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Tam Thuận,Quận Thanh Khê,Thành phố Đà Nẵng
120,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
121,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
122,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
123,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
124,Nha Hang Phu Mi Thanh,3.6,(7),None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
125,Mệ Xí Restaurant,None,None,None,'Dine-in',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
